id,publisher,classification,released_games,unreleased_games,total_revenue,avg_revenue_per_game,median_revenue_per_game,hq_country,pct_inhouse,action,adventure,arcade,casino,lifestyle,puzzle,racing,rpg,shooter,simulation,sports,strategy,tabletop
76,Endnight Games Ltd,AA,1,0,193300000.0,193300000.0,193300000.0,Canada,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,tinybuild,Indie,105,12,192900000.0,1800000.0,665000.0,Sweden,7.0,43.0,1.0,14.0,0.0,0.0,4.0,0.0,8.0,9.0,16.0,0.0,6.0,0.0
78,Wube Software LTD.,Indie,1,0,191700000.0,191700000.0,191700000.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
79,Neowiz,Indie,16,2,190200000.0,11900000.0,777000.0,,22.0,28.0,6.0,33.0,0.0,0.0,0.0,0.0,17.0,0.0,6.0,0.0,11.0,0.0
80,Funcom,AA,19,0,187600000.0,9900000.0,1700000.0,Sweden,58.0,42.0,11.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,0.0,0.0,16.0,0.0
81,Re-Logic,Indie,3,0,183200000.0,61100000.0,91600000.0,United States,33.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
82,Quantic Dream,Indie,4,0,181500000.0,45400000.0,11300000.0,France,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Private Division,Indie,10,0,180900000.0,18100000.0,5600000.0,,0.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,30.0,0.0,0.0,0.0
84,Eidos Interactive,AA,12,0,179700000.0,15000000.0,2700000.0,United Kingdom,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,27.0,0.0,0.0,0.0,0.0
85,The Indie Stone,Indie,1,0,173400000.0,173400000.0,173400000.0,United Kingdom,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Team Cherry,AA,2,0,167500000.0,83700000.0,83700000.0,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Stunlock Studios,Indie,4,0,163900000.0,41000000.0,145500000.0,Sweden,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,50.0,0.0
88,Zeekerss,Indie,5,0,158100000.0,31600000.0,597000.0,,100.0,60.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Hello Games,AA,4,2,156800000.0,39200000.0,2800000.0,United Kingdom,67.0,33.0,17.0,33.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Red Barrels,AA,3,0,154000000.0,51300000.0,63100000.0,Canada,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,CI Games,AA,16,0,147900000.0,9200000.0,4000000.0,Poland,38.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,19.0,69.0,6.0,0.0,0.0,0.0
92,Io-Interactive A/S,Indie,8,1,147400000.0,18400000.0,3800000.0,,89.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
93,Daybreak Game Company,AA,10,0,146000000.0,14600000.0,0.0,,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,10.0,0.0,0.0,0.0
94,The Behemoth,Indie,6,0,144900000.0,24200000.0,2900000.0,United States,100.0,50.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
95,Torn Banner Studios,Indie,4,0,141700000.0,35400000.0,70000000.0,Canada,100.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
96,bilibili,Indie,9,2,140300000.0,15600000.0,3800000.0,China,0.0,44.0,11.0,11.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,11.0,0.0
97,BeamNG,AA,1,0,139400000.0,139400000.0,139400000.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
98,semiwork,Indie,2,0,138500000.0,69300000.0,69300000.0,Sweden,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Skybound Games,AA,18,1,138400000.0,7700000.0,297000.0,,5.0,22.0,56.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0
100,PlayStack,Indie,12,5,132200000.0,11000000.0,1800000.0,United Kingdom,0.0,38.0,0.0,6.0,0.0,0.0,25.0,0.0,13.0,6.0,0.0,0.0,13.0,0.0
101,New Blood Interactive,Indie,12,2,129800000.0,10800000.0,2100000.0,,0.0,23.0,0.0,8.0,0.0,0.0,8.0,0.0,8.0,54.0,0.0,0.0,0.0,0.0
102,Grinding Gear Games,AA,2,0,126100000.0,63000000.0,126100000.0,New Zealand,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
103,Kalypso Media Digital,AA,48,0,123600000.0,2600000.0,486000.0,,0.0,6.0,0.0,4.0,0.0,0.0,2.0,2.0,15.0,0.0,23.0,2.0,46.0,0.0
104,TVGS,Indie,1,0,123200000.0,123200000.0,123200000.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
